230 families
  NEW n=5 best=5 (formula 5) D2 A B C params=[1.0, 1.0] nb=7 deg=2 lines=2 root p1 lvl0
  NEW n=9 best=25 (formula 25) D2 G G C params=[1.0, 0.523599, 1.0, 0.314159] nb=29 deg=4 lines=4 root p2 lvl0
D2 G G C n=9 p=4 K=60: 356 roots, 226 evals, 17.1s
D2 A A G C n=9 p=4 K=69: 445 roots, 392 evals, 19.1s
D2 A B G I n=9 p=4 K=66: 789 roots, 702 evals, 31.9s
D2 A B G C n=9 p=4 K=66: 789 roots, 702 evals, 35.6s
D3 A A B n=9 p=3 K=76: 498 roots, 179 evals, 11.5s
D3 A B B n=9 p=3 K=76: 374 roots, 137 evals, 10.9s
D3 A G n=9 p=3 K=66: 232 roots, 81 evals, 8.0s
D3 A A A n=9 p=3 K=76: 96 roots, 48 evals, 8.6s
D4 A A C n=9 p=2 K=42: 10 roots, 10 evals, 1.0s
D4 A B C n=9 p=2 K=39: 30 roots, 11 evals, 1.1s
D4 A A I n=9 p=2 K=42: 10 roots, 10 evals, 0.9s
D4 A B I n=9 p=2 K=39: 30 roots, 11 evals, 1.0s
D4 G I n=9 p=2 K=33: 0 roots, 6 evals, 0.3s
D4 G C n=9 p=2 K=33: 0 roots, 6 evals, 0.3s
D2 A B G C I n=10 p=4 K=66: 789 roots, 702 evals, 38.7s
D2 A G G n=10 p=5 K=139: 1352 roots, 1331 evals, 60.4s
D2 G G C I n=10 p=4 K=60: 269 roots, 222 evals, 12.0s
D2 A A G C I n=10 p=4 K=69: 445 roots, 392 evals, 18.6s
D3 A A A C n=10 p=3 K=76: 96 roots, 48 evals, 6.1s
D3 A B B I n=10 p=3 K=76: 374 roots, 137 evals, 9.1s
D3 A A A I n=10 p=3 K=76: 96 roots, 48 evals, 6.1s
D3 A A B I n=10 p=3 K=76: 498 roots, 179 evals, 10.8s
D3 A G C n=10 p=3 K=66: 278 roots, 81 evals, 7.9s
D3 A B B C n=10 p=3 K=76: 374 roots, 137 evals, 9.4s
D3 A A B C n=10 p=3 K=76: 498 roots, 179 evals, 12.0s
D3 A G I n=10 p=3 K=66: 278 roots, 81 evals, 8.9s
D4 A A C I n=10 p=2 K=42: 10 roots, 10 evals, 0.9s
D4 A B C I n=10 p=2 K=39: 30 roots, 11 evals, 1.1s
D4 G C I n=10 p=2 K=33: 0 roots, 6 evals, 0.4s
D5 G n=10 p=2 K=57: 6 roots, 6 evals, 0.5s
D5 A A n=10 p=2 K=65: 30 roots, 13 evals, 1.3s
D5 A B n=10 p=2 K=65: 50 roots, 15 evals, 1.3s
D2 A G G C n=11 p=5 K=139: 705 roots, 718 evals, 60.0s
D2 A G G I n=11 p=5 K=139: 720 roots, 732 evals, 60.6s
D3 A A B C I n=11 p=3 K=76: 498 roots, 179 evals, 15.2s
D3 A G C I n=11 p=3 K=66: 232 roots, 81 evals, 10.6s
D3 A B B C I n=11 p=3 K=76: 374 roots, 137 evals, 13.5s
D3 A A A C I n=11 p=3 K=76: 96 roots, 48 evals, 6.7s
  NEW n=11 best=41 (formula 41) D5 G C params=[1.0, 0.314159] nb=46 deg=5 lines=5 base
D5 G C n=11 p=2 K=57: 6 roots, 6 evals, 0.6s
D5 A B C n=11 p=2 K=65: 50 roots, 15 evals, 1.5s
D5 A A C n=11 p=2 K=65: 30 roots, 13 evals, 1.5s
D5 A A I n=11 p=2 K=65: 30 roots, 13 evals, 1.7s
  NEW n=11 best=41 (formula 41) D5 A B I params=[1.0, 1.0] nb=46 deg=5 lines=45 root p1 lvl0
D5 A B I n=11 p=2 K=65: 50 roots, 15 evals, 1.6s
D5 G I n=11 p=2 K=57: 6 roots, 6 evals, 0.6s
D2 G G G n=12 p=6 K=266: 524 roots, 546 evals, 62.6s
D2 A G G C I n=12 p=5 K=139: 478 roots, 498 evals, 61.3s
D3 A A G n=12 p=4 K=190: 769 roots, 685 evals, 60.0s
D3 G G n=12 p=4 K=180: 836 roots, 631 evals, 32.8s
D3 A B G n=12 p=4 K=190: 1167 roots, 1023 evals, 62.1s
D4 A B B n=12 p=3 K=159: 697 roots, 251 evals, 18.0s
D4 A A A n=12 p=3 K=173: 233 roots, 84 evals, 8.4s
D4 A A B n=12 p=3 K=159: 802 roots, 276 evals, 17.4s
D4 A G n=12 p=3 K=144: 263 roots, 91 evals, 8.1s
D5 A B C I n=12 p=2 K=65: 50 roots, 15 evals, 1.2s
D5 A A C I n=12 p=2 K=65: 30 roots, 13 evals, 1.2s
D5 G C I n=12 p=2 K=57: 6 roots, 6 evals, 0.4s
D6 G n=12 p=2 K=97: 0 roots, 6 evals, 0.4s
D6 A A n=12 p=2 K=112: 30 roots, 11 evals, 1.1s
D6 A B n=12 p=2 K=107: 50 roots, 13 evals, 1.1s
D2 G G G C n=13 p=6 K=266: 468 roots, 490 evals, 61.6s
D2 G G G I n=13 p=6 K=266: 468 roots, 490 evals, 60.0s
  NEW n=13 best=61 (formula 61) D3 G G C params=[1.0, 0.698132, 1.0, 0.349066] nb=67 deg=6 lines=6 root p2 lvl0
D3 G G C n=13 p=4 K=180: 1067 roots, 636 evals, 53.6s
D3 A A G C n=13 p=4 K=190: 670 roots, 612 evals, 61.8s
D3 A B G I n=13 p=4 K=190: 710 roots, 635 evals, 62.0s
D3 A B G C n=13 p=4 K=190: 817 roots, 710 evals, 61.2s
  NEW n=13 best=61 (formula 61) D3 G G I params=[1.0, 0.698132, 1.0, 0.349066] nb=67 deg=6 lines=66 root p2 lvl0
D3 G G I n=13 p=4 K=180: 870 roots, 625 evals, 40.2s
D3 A A G I n=13 p=4 K=190: 670 roots, 612 evals, 61.7s
D4 A B B C n=13 p=3 K=159: 697 roots, 251 evals, 24.8s
D4 A A B C n=13 p=3 K=159: 802 roots, 276 evals, 25.5s
D4 A G I n=13 p=3 K=144: 317 roots, 91 evals, 10.9s
D4 A A A C n=13 p=3 K=173: 233 roots, 84 evals, 8.7s
D4 A B B I n=13 p=3 K=159: 697 roots, 251 evals, 24.2s
D4 A A A I n=13 p=3 K=173: 233 roots, 84 evals, 8.0s
D4 A A B I n=13 p=3 K=159: 802 roots, 276 evals, 19.9s
