230 families
D4 G I n=9 p=2 K=33: 0 roots, 6 evals, 0.1s
D4 A B C n=9 p=2 K=39: 30 roots, 11 evals, 0.4s
D4 A A I n=9 p=2 K=195: 10 roots, 10 evals, 1.3s
D2 A G G n=10 p=5 K=426: 1448 roots, 1427 evals, 60.9s
D2 A B G C I n=10 p=4 K=66: 789 roots, 702 evals, 30.9s
D2 A A G C I n=10 p=4 K=146: 290 roots, 266 evals, 20.4s
D2 G G C I n=10 p=4 K=195: 269 roots, 222 evals, 21.3s
D3 A A B I n=10 p=3 K=263: 376 roots, 145 evals, 19.2s
D3 A A A C n=10 p=3 K=325: 96 roots, 48 evals, 22.0s
D3 A A B C n=10 p=3 K=263: 376 roots, 145 evals, 19.2s
D3 A A A I n=10 p=3 K=325: 96 roots, 48 evals, 19.6s
D3 A G C n=10 p=3 K=66: 278 roots, 81 evals, 8.1s
D3 A B B I n=10 p=3 K=263: 307 roots, 123 evals, 21.5s
D3 A B B C n=10 p=3 K=263: 307 roots, 123 evals, 20.8s
D3 A G I n=10 p=3 K=66: 278 roots, 81 evals, 7.8s
D4 G C I n=10 p=2 K=33: 0 roots, 6 evals, 0.3s
D4 A A C I n=10 p=2 K=195: 10 roots, 10 evals, 2.7s
D4 A B C I n=10 p=2 K=39: 30 roots, 11 evals, 0.9s
D5 A B n=10 p=2 K=65: 50 roots, 15 evals, 1.2s
D5 A A n=10 p=2 K=460: 30 roots, 13 evals, 7.8s
D5 G n=10 p=2 K=57: 6 roots, 6 evals, 0.5s
D2 A G G I n=11 p=5 K=426: 529 roots, 544 evals, 61.1s
D2 A G G C n=11 p=5 K=426: 800 roots, 782 evals, 61.0s
D3 A A A C I n=11 p=3 K=325: 96 roots, 48 evals, 17.2s
D3 A A B C I n=11 p=3 K=263: 376 roots, 145 evals, 18.7s
D3 A G C I n=11 p=3 K=66: 232 roots, 81 evals, 7.3s
D3 A B B C I n=11 p=3 K=263: 307 roots, 123 evals, 18.3s
  NEW n=11 best=41 (formula 41) D5 A B I params=[1.0, 1.0] nb=46 deg=5 lines=45 root p1 lvl0
D5 A B I n=11 p=2 K=65: 50 roots, 15 evals, 1.2s
  NEW n=11 best=41 (formula 41) D5 A B C params=[1.0, 1.0] nb=46 deg=5 lines=5 root p1 lvl0
D5 A B C n=11 p=2 K=65: 50 roots, 15 evals, 1.2s
D5 A A C n=11 p=2 K=460: 30 roots, 13 evals, 6.6s
D5 G I n=11 p=2 K=57: 6 roots, 6 evals, 0.4s
D5 G C n=11 p=2 K=57: 6 roots, 6 evals, 0.4s
D5 A A I n=11 p=2 K=460: 30 roots, 13 evals, 6.6s
D2 G G G n=12 p=6 K=986: 383 roots, 405 evals, 63.8s
D2 A G G C I n=12 p=5 K=426: 345 roots, 367 evals, 61.6s
D3 A B G n=12 p=4 K=190: 623 roots, 606 evals, 62.1s
D3 A A G n=12 p=4 K=687: 370 roots, 394 evals, 61.8s
D3 G G n=12 p=4 K=931: 294 roots, 302 evals, 62.5s
D4 A G n=12 p=3 K=144: 263 roots, 91 evals, 10.8s
D4 A A B n=12 p=3 K=796: 594 roots, 244 evals, 60.4s
D4 A B B n=12 p=3 K=796: 526 roots, 235 evals, 60.7s
